id;androidversion;androidlanguage;deviceinfo;appversion;day;month;year;hour;minute;playername;playerpoints;playercombos;computeralgorithm;computerpoints;computercombos;playerstarted
id;23 (6.0);eng;F3313 (F3313);2.0.0;20;7;2018;14;41;RQ30037Y53;230;Fam-Fuji,Fam-Susuki;RandomPlayer;570;Oozan,Hanami I-Pai,Fam-Matsu,Fam-Sakura;
5;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;16;53;RQ30037Y53;280;Hanami I-Pai;RandomPlayer;310;Acata,Fam-Fuji;
6;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
7;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
8;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
9;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
10;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
11;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
12;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
13;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
14;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
15;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
16;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
17;24 (7.0);eng;SM-J530G (j5y17lteub);2.1.2000;20;7;2018;20;32;5200f387b8f5845f;370;Acata,Tsukimi I-Pai;RandomPlayer;190;Fam-Matsu;
18;24 (7.0);eng;SM-J530G (j5y17lteub);2.1.2000;20;7;2018;20;35;5200f387b8f5845f;470;Nizoro,Fam-Kiri;RandomPlayer;560;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Susuki;
19;23 (6.0);eng;F3313 (F3313);2.1.2000;20;7;2018;17;11;RQ30037Y53;400;Ino-Shika-Cho;RandomPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai;
17898;24 (7.0);eng;SM-J530G (j5y17lteub);2.1.2001;23;9;2018;0;26;5200f387b8f5845f;310;Fam-Uma;RandomPlayer;220;Hanami I-Pai;
18000;23 (6.0);ita;ALE-L21 (ALE-L21);2.1.2001;1;10;2018;14;48;QLF7N16513010336;220;Fam-Susuki;ExpectiMinimaxPlayer;370;Cosan;
18324;23 (6.0);ita;ALE-L21 (ALE-L21);2.1.2001;29;10;2018;20;18;QLF7N16513010336;360;Tsukimi I-Pai,Fam-Uma;RandomPlayer;170;;
18353;26 (8.0.0);deu;LG-H870 (lucye_global_com);2.1.2001;1;11;2018;13;4;LGH8702ceadb2c;160;Fam-Uma;Greedy;430;Hanami I-Pai,Fam-Matsu;
18523;23 (6.0);ita;ALE-L21 (ALE-L21);2.1.2001;12;11;2018;19;9;QLF7N16513010336;130;Fam-Momiji;RandomPlayer;430;Tsukimi I-Pai,Fam-Fuji,Fam-Susuki;
18544;27 (8.1.0);eng;SM-J530G (j5y17lteub);2.1.2001;16;11;2018;18;16;5200f387b8f5845f;160;Fam-Fuji;RandomPlayer;280;Fam-Momiji;
18612;27 (8.1.0);eng;SM-J530G (j5y17lteub);2.2.2000;21;11;2018;11;3;5200f387b8f5845f;210;Fam-Uma;RandomPlayer;1170;Matsu-Kiri-Bozu,Fam-Matsu,Fam-Susuki,Fam-Kiri,Shiko;
18738;27 (8.1.0);eng;SM-J530G (j5y17lteub);2.2.2000;1;12;2018;11;7;5200f387b8f5845f;130;;RandomPlayer;490;Oozan,Fam-Matsu,Fam-Uma;
19029;26 (8.0.0);por;SM-A530F (jackpotltexx);2.2.2000;1;1;2019;0;41;5200b33f53581551;490;Cosan,Fam-Fuji;RandomPlayer;200;Hanami I-Pai;
